,mont-samagallo
1691,-1.3957347
1692,8.13256
1693,-1.812539
1694,-6.2650423
1695,1.5767249
1696,38.366318
1697,203.97984
1698,440.58478
1699,435.06113
1700,631.62384
1701,555.4913
1702,468.6371
1703,329.7909
1704,253.49222
1705,179.45355
1706,50.153255
1707,3.014191
1708,-5.102096
1709,5.9407763
1710,-2.7923996
1711,-2.7271883
1712,-4.607865
1713,-4.074721
1714,-7.0591106
1715,-1.1713258
1716,7.717694
1717,1.1334263
1718,5.162876
1719,2.129394
1720,39.024414
1721,207.32555
1722,509.96823
1723,390.99274
1724,443.54633
1725,392.76193
1726,447.4312
1727,405.76227
1728,218.75523
1729,174.82692
1730,50.017086
1731,0.1528247
1732,1.3371793
1733,-7.7086463
1734,-1.8911664
1735,-5.7824836
1736,-0.33857977
1737,6.1825643
1738,6.826695
1739,7.7663636
1740,3.7573304
1741,4.227851
1742,5.003526
1743,13.09445
1744,52.88616
1745,277.92273
1746,230.58006
1747,210.60023
1748,302.41522
