,labombilla
1449,14.083918
1450,-15.702925
1451,-7.565544
1452,-7.653719
1453,0.7875636
1454,-0.72065943
1455,3.8455622
1456,19.67444
1457,80.73548
1458,194.17271
1459,376.76172
1460,593.17664
1461,837.5504
1462,835.748
1463,835.05176
1464,742.9477
1465,530.2303
1466,423.68674
1467,390.74365
1468,139.06477
1469,91.20295
1470,97.8351
1471,73.860245
1472,72.053024
1473,87.65047
1474,79.50184
1475,79.88587
1476,76.40611
1477,34.952515
1478,39.61362
1479,8.901071
1480,-36.349884
1481,-98.23746
1482,46.735226
1483,305.06628
1484,293.55548
1485,1005.1723
1486,975.51624
1487,1009.7913
1488,861.4087
1489,811.2174
1490,685.5028
1491,439.44717
1492,186.1819
1493,58.23663
1494,139.23154
1495,32.77563
1496,-77.729645
1497,31.687235
1498,216.6886
1499,49.25556
1500,102.46916
1501,182.53271
1502,35.254456
1503,49.415524
1504,64.27187
1505,160.69829
1506,295.6308
1507,675.2364
1508,858.8393
1509,968.71014
1510,950.2744
1511,989.30383
1512,903.4142
1513,852.4745
1514,658.1116
1515,462.22787
1516,107.73386
1517,67.7439
1518,23.613527
1519,-126.67551
1520,70.41331
1521,73.26748
1522,43.139454
1523,57.93872
1524,43.48141
1525,54.769356
1526,73.038445
1527,65.57126
1528,107.04931
1529,181.17639
1530,340.18097
1531,653.1833
1532,871.8541
1533,964.70557
1534,1007.6177
1535,972.9918
1536,881.05054
1537,808.72205
1538,643.61255
1539,462.06903
1540,159.47954
1541,182.37462
1542,116.74121
1543,117.42685
1544,94.46892
1545,101.4591
1546,-8.73871
1547,62.804665
1548,6.944713
1549,111.7732
1550,87.90229
1551,-12.996137
1552,91.64886
1553,214.33139
1554,428.12878
1555,658.8311
1556,897.44257
1557,985.8955
1558,995.74567
1559,1004.8118
1560,916.7295
1561,852.0881
1562,708.1318
1563,457.39545
1564,161.0193
1565,105.45037
1566,18.391794
1567,25.383427
1568,10.642352
1569,80.01078
1570,81.39391
1571,92.71366
1572,79.02105
1573,93.886314
1574,76.94148
1575,31.547766
1576,40.477905
1577,167.2784
1578,406.83453
1579,706.43286
1580,924.2902
1581,933.8702
1582,1009.1322
1583,891.7261
1584,842.07434
1585,772.6161
1586,724.55695
1587,471.0283
1588,91.55042
1589,59.979763
1590,40.55857
1591,45.16834
1592,28.114773
1593,96.584465
1594,87.493286
1595,95.89084
1596,48.703674
1597,61.575836
1598,61.55074
1599,73.94282
1600,89.45074
1601,69.17859
1602,327.69986
1603,682.4646
1604,884.0528
1605,937.3095
1606,1009.64124
1607,1013.8948
1608,905.52435
1609,862.4352
1610,706.5725
1611,464.1895
1612,129.92494
1613,111.124825
1614,89.53345
1615,83.19208
1616,88.62563
1617,90.2924
1618,46.334873
1619,42.23845
1620,45.191685
1621,54.297443
1622,106.25814
1623,115.02215
1624,76.43722
1625,239.07439
1626,387.3023
1627,744.6834
1628,923.7866
1629,944.63605
1630,859.045
1631,893.3036
1632,834.57355
1633,746.20197
1634,640.16345
1635,487.19907
1636,195.96014
1637,62.727654
1638,71.52315
1639,153.02434
1640,44.327183
1641,48.10975
1642,-4.9665465
1643,44.470306
1644,37.677773
1645,-8.930985
1646,58.267143
1647,-7.754461
1648,69.447426
1649,156.60284
1650,382.82025
1651,671.76086
1652,906.89777
1653,870.06354
1654,999.4368
1655,939.9366
1656,891.72577
1657,819.15424
1658,665.32513
1659,442.05533
1660,87.34886
1661,24.813257
1662,96.96637
1663,109.6332
1664,130.84862
1665,99.82091
1666,33.162323
1667,35.758392
1668,44.131363
1669,61.484413
1670,-3.5114837
1671,14.576514
1672,64.70236
1673,35.73531
1674,295.2365
1675,640.6419
1676,863.1308
1677,936.1495
1678,1050.6729
1679,1011.4345
1680,863.9249
1681,784.9071
1682,670.04865
1683,465.88666
1684,86.38049
1685,66.68988
1686,89.857605
1687,89.92529
1688,127.258736
1689,99.16169
1690,38.443962
1691,42.136497
1692,43.66415
1693,85.59471
1694,52.568825
1695,61.568893
1696,66.336395
1697,154.84305
1698,342.3946
1699,633.1963
1700,974.0862
1701,1003.70825
1702,1061.8325
1703,1063.0945
1704,817.5953
1705,804.3451
1706,705.3722
1707,519.82263
1708,135.35161
1709,84.75366
1710,82.500626
1711,98.89917
1712,75.28885
1713,50.53221
1714,79.843124
1715,14.73781
1716,69.465
1717,67.4679
1718,5.5633464
1719,76.55303
1720,49.621647
1721,50.44203
1722,447.80243
1723,690.3249
1724,946.3426
1725,972.56134
1726,1032.9818
1727,1051.2455
1728,911.9366
1729,903.28156
1730,683.50885
1731,628.3498
1732,190.24663
1733,152.2951
1734,81.271034
1735,103.42576
1736,83.957275
1737,87.01089
1738,23.131714
1739,48.318096
1740,43.20187
1741,60.47997
1742,57.796944
1743,68.03643
1744,73.754364
1745,129.99599
1746,388.633
1747,594.32336
1748,951.82996
1749,1031.4272
1750,912.1319
1751,869.3677
1752,746.97614
1753,686.8701
1754,631.1916
1755,453.81396
1756,139.62782
1757,101.10858
1758,105.71338
1759,82.39685
1760,77.98858
1761,76.95267
1762,50.876793
1763,41.65962
1764,43.227077
1765,53.346607
1766,63.507923
1767,77.032646
1768,90.16745
1769,159.86569
1770,357.5809
1771,664.2824
1772,914.4483
1773,967.7149
1774,1087.0569
1775,1084.4575
1776,913.66113
1777,834.0372
1778,811.60925
1779,626.21234
1780,160.76498
1781,98.75871
1782,55.788925
1783,69.21393
1784,71.88664
1785,35.49756
1786,98.69473
1787,60.42706
1788,41.863544
1789,54.01276
1790,133.34386
1791,94.5126
1792,120.04138
1793,171.09167
1794,412.50177
1795,732.67645
1796,894.1551
1797,999.50085
1798,972.6476
1799,954.1459
