,bodeganorte
1181,205.77065
1182,408.5119
1183,430.0289
1184,605.66364
1185,465.46027
1186,471.2215
1187,549.96405
1188,403.0288
1189,260.12622
1190,125.62119
1191,5.7308726
1192,2.34977
1193,-12.940741
1194,8.095901
1195,-0.1558913
1196,6.144297
1197,2.2432103
1198,0.25883055
1199,0.40018487
1200,2.922359
1201,-1.3816658
1202,-3.912413
1203,30.150476
1204,179.39677
1205,347.59708
1206,288.33603
1207,286.0281
1208,269.7591
1209,263.25272
1210,290.53345
1211,185.98364
1212,205.5627
1213,66.27244
1214,19.485416
1215,2.3706088
1216,4.58234
1217,1.268768
1218,1.299373
1219,6.9219255
1220,16.073462
1221,1.075038
1222,10.851036
1223,3.3057785
1224,67.42401
1225,7.8387723
1226,61.989357
1227,146.25842
1228,339.84033
1229,322.23178
1230,406.49973
1231,443.3309
1232,490.92685
1233,396.42236
1234,272.58658
1235,227.4895
1236,47.236145
1237,6.512888
1238,5.251931
1239,22.43126
1240,-9.1524
1241,25.776352
1242,-5.286555
1243,19.73479
1244,-31.167814
1245,-36.033382
1246,-16.427828
1247,-7.2570806
1248,8.958212
1249,144.90541
1250,192.92712
1251,202.63385
1252,377.99557
1253,256.89932
1254,409.53888
1255,397.01273
1256,267.89865
1257,271.2313
1258,133.57565
1259,18.38751
1260,-1.608543
1261,9.357635
1262,9.394048
1263,22.697525
1264,4.186192
1265,-1.7965251
1266,-29.281582
1267,-38.11508
1268,-87.03163
1269,-51.6805
1270,17.927483
1271,91.35047
1272,203.08507
1273,284.01303
1274,338.9749
1275,402.5408
1276,367.5657
1277,415.13846
1278,335.3457
1279,207.78606
1280,76.53808
1281,-13.970602
1282,-22.794586
1283,-4.8339424
1284,0.47172442
1285,-4.4100103
1286,-2.5526567
1287,5.455848
1288,-2.1686244
1289,0.60916054
1290,-4.9385557
1291,1.1273407
1292,60.081432
1293,124.40686
1294,213.48323
1295,440.40845
1296,526.4725
1297,539.31726
1298,540.8295
1299,365.07864
1300,250.26213
1301,241.36296
1302,86.27803
1303,-1.5369482
1304,2.077875
1305,-3.276339
1306,-1.5334836
1307,1.7322015
1308,-3.8193526
1309,-8.411304
1310,-9.052876
1311,0.5299425
1312,-4.062788
1313,-3.8385997
1314,43.71757
1315,230.41473
1316,354.81918
1317,400.52274
1318,491.56857
1319,552.0823
1320,420.01697
1321,268.3604
1322,223.88005
1323,172.8678
1324,55.21033
