,mont-picocruz
1677,460.6617
1678,638.10034
1679,733.618
1680,818.4218
1681,850.3625
1682,745.67505
1683,704.76324
1684,544.8424
1685,358.32312
1686,46.56222
1687,-88.02431
1688,-114.483894
1689,-108.74647
1690,-111.16388
1691,-64.486626
1692,-84.52336
1693,-19.810604
1694,-5.5530324
1695,-7.8969502
1696,-11.895817
1697,-15.172793
1698,-10.608517
1699,20.602816
1700,197.73615
1701,382.61365
1702,619.70245
1703,762.7335
1704,850.32794
1705,853.8112
1706,812.9698
1707,720.94
1708,560.9288
1709,353.37878
1710,94.32602
1711,39.85119
1712,27.836018
1713,-4.424419
1714,2.0691369
1715,30.846571
1716,13.734047
1717,-7.8068013
1718,-7.8068013
1719,-2.7877214
1720,-4.7225156
1721,5.616984
1722,-4.8029256
1723,32.121944
1724,167.50052
1725,450.20166
1726,602.8736
1727,732.68256
1728,863.19476
1729,778.69055
1730,691.53595
1731,716.4446
1732,531.2618
1733,359.5407
1734,69.89389
1735,21.283487
1736,5.9578567
1737,-8.917744
1738,5.2952337
1739,-49.534702
1740,-4.420582
1741,6.9914384
1742,-60.3042
1743,-59.257656
1744,-55.52211
1745,-150.8037
1746,-122.565895
1747,-53.53834
1748,122.45986
1749,159.84895
1750,356.2
1751,429.10202
1752,392.4448
1753,468.67996
1754,422.74338
1755,435.12482
1756,369.34952
1757,251.0672
1758,47.9362
1759,11.489878
1760,-13.489906
1761,16.097628
1762,23.015099
1763,29.381289
1764,7.485668
1765,-122.05975
1766,-76.08559
1767,6.624973
1768,1.8984541
1769,-3.524971
1770,4.125027
1771,39.261665
1772,218.5295
1773,427.86694
1774,572.4795
1775,617.8884
1776,716.963
1777,730.0197
1778,610.1013
1779,549.19275
1780,395.5384
1781,303.2048
1782,94.79894
1783,43.48434
1784,4.880567
1785,4.925219
1786,-13.23177
1787,31.828154
1788,2.0630236
1789,-54.416157
1790,-137.19022
1791,-128.6862
1792,-74.08584
1793,-60.043823
1794,-118.52087
