,centrovis-aemet
1234,14.743043
1235,2.899745
1236,-0.5530676
1237,0.7706589
1238,-1.1026363
1239,-1.1026363
1240,-0.4146786
1241,8.083966
1242,4.0507665
1243,48.56336
1244,222.69406
1245,482.37024
1246,734.7022
1247,768.3563
1248,811.37305
1249,708.02734
1250,625.0629
1251,378.45197
1252,279.667
1253,55.82499
1254,7.1767926
1255,22.107002
1256,16.799812
1257,0.052321944
1258,-1.1942732
1259,-1.757867
1260,1.8509731
1261,-1.1959767
1262,-1.2804945
1263,-1.1026363
1264,2.6322708
1265,1.6877906
1266,11.261968
1267,57.945873
1268,119.961136
1269,457.60397
1270,738.3767
1271,810.2379
1272,752.75714
1273,675.9935
1274,601.5539
1275,503.76694
1276,303.12457
1277,130.57426
1278,10.302542
1279,-5.443381
1280,4.0575585
1281,11.733447
1282,-2.4945502
1283,-6.3452435
1284,-11.14058
1285,1.9318091
1286,-0.4343205
1287,-3.905717
1288,-9.696282
1289,4.4163313
1290,-7.0721073
1291,80.09473
1292,328.54172
1293,578.10626
1294,679.1131
1295,874.0876
1296,792.9875
1297,628.8474
1298,439.05594
1299,390.39978
1300,210.01112
1301,127.7
1302,18.423512
1303,0.791963
1304,32.05894
1305,3.7443914
1306,2.2519312
1307,2.2595034
1308,7.322734
1309,-2.0913801
1310,-3.9130728
1311,-13.014504
1312,-7.530492
1313,4.667311
1314,21.416052
1315,108.17289
1316,299.89407
1317,509.51694
1318,700.3447
1319,753.17926
1320,814.9673
1321,640.52454
1322,527.8118
1323,416.77087
1324,280.82516
1325,39.732204
1326,6.494571
1327,-1.4718443
1328,2.1264842
1329,-9.338087
1330,3.7830555
1331,1.3193359
1332,1.8605914
1333,-2.0348082
1334,-1.5598516
1335,0.15670821
1336,4.9625454
1337,-0.46270803
1338,-0.818985
1339,69.94337
1340,352.7621
1341,618.6572
1342,737.24664
1343,723.9528
1344,735.3191
1345,682.8516
1346,514.99475
1347,477.78748
1348,355.84216
1349,84.8364
1350,5.4394617
1351,2.9957137
1352,-0.55635333
1353,2.991446
1354,-1.715182
1355,2.762372
1356,5.830959
1357,2.651205
1358,-10.486443
1359,3.638687
1360,2.6358283
1361,-0.66876084
1362,6.1912236
1363,46.0918
1364,281.21094
1365,491.16156
1366,598.59454
1367,625.0649
1368,660.10333
1369,628.8183
1370,503.62198
1371,425.65878
1372,292.4961
1373,71.12873
1374,2.3973837
1375,1.6565106
1376,3.656124
1377,-6.239477
1378,21.302301
1379,-1.6764416
1380,-1.2924094
1381,0.21019629
1382,0.30353665
1383,0.30353665
1384,4.7968655
1385,-0.13788947
1386,12.321722
1387,67.64908
1388,311.2142
1389,504.59143
1390,561.7771
1391,684.06726
1392,564.5903
1393,473.72507
1394,214.0437
1395,264.8474
1396,292.18076
1397,95.87366
1398,0.56897265
1399,10.304811
1400,14.451898
1401,17.795887
1402,5.7179685
1403,3.0790362
1404,3.2784185
1405,1.2001135
1406,-1.1130921
1407,-1.1130921
1408,2.6799483
1409,4.9147015
1410,6.233973
1411,79.9189
1412,338.78665
1413,553.29297
1414,573.2895
1415,625.6628
1416,701.07025
1417,613.1642
1418,518.5253
1419,421.4463
1420,250.37769
1421,99.78112
1422,-7.6920767
1423,3.5432029
1424,6.5226383
1425,9.571477
1426,-7.2896304
1427,-11.034696
1428,0.45055658
1429,163.99152
1430,95.808846
1431,117.10932
1432,62.836826
1433,114.245605
1434,178.24579
1435,302.5016
1436,123.46717
1437,186.7924
1438,212.5617
1439,473.71716
1440,481.3378
1441,239.59587
1442,337.64365
1443,124.71748
1444,86.989685
1445,72.59572
1446,-15.5996065
1447,-15.19941
1448,-17.114807
1449,-21.470411
1450,-21.470411
1451,14.926798
1452,-8.151216
1453,-40.283096
1454,-17.887049
1455,-11.9465685
1456,-15.709572
1457,-15.035938
1458,-3.2023795
1459,18.782824
1460,33.935017
1461,479.83093
1462,369.27866
1463,559.47156
1464,614.42914
1465,626.27356
1466,430.14658
1467,292.50058
1468,257.6994
1469,61.727745
1470,-14.395825
1471,-14.037346
1472,10.649834
1473,-17.70597
1474,-24.861847
1475,1.9496384
1476,0.53584325
1477,1.8509731
1478,-0.18969494
1479,-0.3758388
1480,0.41570663
1481,11.811737
1482,2.3302865
1483,26.9721
1484,135.91757
1485,335.0667
1486,492.08514
1487,645.1594
1488,607.0278
1489,636.5239
1490,459.20444
1491,313.86523
1492,237.75018
1493,56.180252
1494,-1.3107353
1495,-1.9098682
1496,17.836994
1497,-1.4656398
1498,-2.0874715
1499,-2.6107652
1500,0.21019629
1501,1.0405822
1502,2.904038
1503,-1.5038041
1504,3.7698534
1505,8.048946
1506,0.037702598
1507,47.450768
1508,141.1614
1509,490.712
1510,591.041
1511,720.69586
1512,757.0392
1513,616.77423
1514,458.1902
1515,282.86768
1516,231.91098
1517,59.566463
1518,12.248155
1519,8.81878
1520,15.37428
1521,15.242747
1522,6.597548
1523,37.56531
1524,-22.0417
1525,-6.7734175
1526,-35.079018
1527,-7.4985824
1528,12.685687
1529,-10.7732115
1530,122.481026
1531,104.79526
1532,179.41238
1533,249.76218
1534,229.60745
1535,479.1592
1536,687.1307
1537,642.34174
1538,356.34073
1539,274.7985
1540,168.10123
1541,105.97676
1542,-7.4610376
1543,14.30526
1544,6.8804817
1545,0.40130374
1546,-6.778385
1547,1.048204
1548,-0.36559084
1549,-0.28303534
1550,-2.7084103
1551,-1.7583046
1552,4.3778353
1553,11.9451885
1554,-2.280977
1555,63.949158
1556,259.00015
1557,378.61462
1558,449.3756
1559,644.0855
1560,533.3107
1561,361.28656
1562,442.47382
1563,313.0622
1564,200.091
1565,-1.8051052
1566,5.016402
1567,9.356167
1568,2.765629
1569,8.518496
1570,-0.07904333
1571,-0.06032309
1572,4.04202
1573,11.968731
1574,28.075026
1575,16.472883
1576,1.3715621
1577,-8.127561
1578,80.57952
1579,281.18814
1580,428.5389
1581,624.8546
1582,691.848
1583,721.2264
1584,634.13
1585,513.1432
1586,351.2057
1587,208.72995
1588,55.384438
1589,-10.7154875
1590,7.1875677
1591,1.7725927
1592,1.5047101
1593,5.893987
1594,9.302761
1595,6.9103765
1596,2.674405
1597,4.190936
1598,2.263052
1599,-9.256154
1600,15.842707
1601,25.605555
1602,70.04189
1603,292.2675
1604,411.05646
1605,618.3541
1606,669.3555
1607,717.88367
1608,649.29755
1609,520.56964
1610,314.54465
1611,152.54552
1612,44.23318
1613,26.050274
1614,20.609282
1615,17.788298
1616,23.566204
1617,15.198965
1618,27.537664
1619,5.5310717
1620,42.172123
1621,32.38005
1622,30.88056
1623,29.96607
1624,-3.348838
1625,92.394554
1626,86.056725
1627,297.61508
1628,390.17578
1629,424.7498
1630,394.47818
1631,425.93936
1632,403.79794
1633,467.82108
1634,247.4249
1635,168.85027
1636,66.99372
1637,45.211117
1638,31.927864
1639,-3.8872592
1640,33.995964
1641,38.03948
1642,0.32435423
1643,22.010887
1644,32.64701
1645,8.948776
1646,-2.9586935
1647,41.047787
1648,12.771261
1649,3.442255
1650,2.6658323
1651,183.8252
1652,433.13272
1653,557.5022
1654,660.9722
1655,569.56635
1656,612.16705
1657,452.74536
1658,288.4938
1659,176.23917
1660,77.399345
1661,27.087385
1662,22.682653
1663,-10.94346
1664,0.2095046
1665,3.0493333
1666,-3.3329866
1667,2.9958801
1668,-2.4018438
1669,3.31209
1670,0.30353665
1671,1.8218808
1672,8.889814
1673,12.808751
1674,66.37266
1675,268.27008
1676,490.31934
1677,526.05927
1678,652.5261
1679,694.0934
1680,551.3986
1681,364.60553
1682,316.1047
1683,262.92685
1684,79.10753
1685,5.2404556
1686,-0.20206717
1687,2.455727
1688,4.3754745
1689,1.8134438
1690,3.4340062
1691,2.0189712
1692,1.8509731
1693,-1.2804945
1694,-1.2804945
1695,2.8197474
1696,10.675487
1697,-3.1096516
1698,41.50842
1699,163.3502
1700,550.81366
1701,656.9036
1702,668.04376
1703,549.44385
1704,481.08517
1705,225.81073
1706,244.30312
1707,247.84894
1708,90.68385
1709,24.495865
1710,14.154782
1711,0.052321944
1712,-1.1942732
1713,-1.1942732
1714,-0.035666324
1715,-2.8860593
1716,1.8605914
1717,-0.45972726
1718,-1.9555328
1719,0.23784807
1720,5.9500046
1721,11.261968
1722,46.455193
1723,211.09633
1724,534.50037
1725,518.05853
1726,538.466
1727,682.6398
1728,720.38116
1729,525.6318
1730,386.39145
1731,306.5408
1732,63.877514
1733,19.38343
1734,23.940386
1735,5.1625075
1736,22.881958
1737,-9.356471
1738,-4.049807
1739,4.0276775
1740,1.9530045
1741,11.445298
1742,-8.744958
1743,4.7186384
1744,50.26784
1745,-6.6019087
1746,-2.5088978
1747,195.59442
1748,430.02747
1749,456.38828
1750,621.17993
1751,631.40424
1752,532.6583
1753,229.31114
1754,237.34593
1755,209.22282
1756,53.327934
1757,8.8869705
1758,-3.3483808
1759,4.9632745
1760,-6.267288
1761,4.406011
1762,-4.305689
1763,-6.1258273
1764,-4.733038
