,salinas
1538,173.71411
1539,142.45169
1540,144.67896
1541,99.553154
1542,128.71419
1543,37.881916
1544,40.602642
1545,106.39266
1546,61.044777
1547,126.17086
1548,122.76956
1549,127.23173
1550,106.09064
1551,171.66916
1552,329.57742
1553,511.30643
1554,700.2635
1555,672.6611
1556,843.82794
1557,923.3851
1558,561.5118
1559,559.5763
1560,406.93625
1561,207.60109
1562,86.00629
1563,88.93625
1564,80.1462
1565,71.2321
1566,105.53281
1567,48.37363
1568,52.391705
1569,53.599525
1570,110.2387
1571,65.71225
1572,79.319626
1573,67.02884
1574,67.912575
1575,80.12577
1576,398.63818
1577,556.76825
1578,701.2931
1579,806.11145
1580,772.93536
1581,784.4956
1582,546.01196
1583,462.09903
1584,359.0904
1585,138.33032
1586,110.58482
1587,124.143776
1588,111.64769
1589,86.16889
1590,109.129684
1591,126.83384
1592,115.58549
1593,33.008987
1594,73.35295
1595,72.69754
1596,78.38812
1597,110.05279
1598,84.00318
1599,211.27455
1600,418.14847
1601,617.3879
1602,720.681
1603,809.8037
1604,804.8287
1605,809.3568
1606,604.6481
1607,511.71994
1608,363.7423
1609,167.32082
1610,86.29121
1611,61.309875
1612,42.907246
1613,53.281567
1614,94.693794
1615,30.981762
1616,89.35822
1617,49.709496
1618,53.21159
1619,13.77221
1620,81.215675
1621,63.225338
1622,47.91421
1623,136.43202
1624,387.97763
1625,557.67865
1626,771.3491
1627,844.30914
1628,787.13257
1629,682.7848
1630,531.8538
1631,436.863
1632,304.9869
1633,138.73021
1634,62.50636
1635,42.921104
1636,41.223095
1637,29.308592
1638,33.845074
1639,-14.109818
1640,45.34827
1641,44.198112
1642,114.83788
1643,165.17616
1644,156.68295
1645,39.448868
1646,13.111525
1647,67.916214
1648,293.42386
1649,527.4322
1650,708.03265
1651,744.7508
1652,753.03186
1653,735.7288
1654,600.6842
1655,361.34042
1656,226.00758
1657,123.399284
1658,76.09093
1659,61.140526
1660,63.21631
1661,11.552606
1662,38.067993
1663,40.290977
1664,4.2206855
1665,3.547734
1666,48.783997
1667,0.15645707
1668,13.232923
1669,12.864759
1670,11.538066
1671,91.87785
1672,331.4584
1673,530.10284
1674,703.335
1675,784.2924
1676,747.0898
1677,673.25726
1678,523.1415
1679,374.378
1680,254.83739
1681,101.18926
1682,66.08555
1683,56.85138
1684,46.945812
1685,35.21697
1686,26.426872
1687,21.268291
1688,42.286343
1689,10.555784
1690,-2.627319
1691,4.2059784
1692,18.069784
1693,19.521513
1694,8.911418
1695,140.60197
1696,342.9371
1697,440.861
1698,667.86865
1699,771.5231
1700,773.33826
1701,657.5494
1702,525.5534
1703,428.0495
1704,347.80655
1705,134.70993
1706,84.83324
1707,74.86309
1708,57.419018
1709,49.571236
1710,49.571236
1711,47.922142
1712,43.501415
1713,20.351488
1714,7.3075438
1715,3.2704713
1716,24.908566
1717,41.330784
1718,13.048369
1719,133.26286
1720,338.42978
1721,451.26608
1722,683.67804
1723,776.9975
1724,781.4774
1725,752.79205
1726,525.2282
1727,409.1017
1728,314.81894
1729,128.59282
1730,63.92319
1731,33.804977
1732,68.394325
1733,87.402954
1734,102.740524
1735,108.93205
1736,120.86098
1737,95.64648
1738,101.47572
1739,73.85843
1740,53.596325
1741,33.010788
1742,75.026764
1743,181.93935
1744,300.0781
1745,504.5046
1746,661.871
1747,713.18274
1748,812.2019
1749,675.7556
1750,538.65045
1751,423.13977
1752,310.09277
1753,141.0839
1754,85.18885
1755,41.384796
1756,36.023888
1757,45.41297
1758,52.37252
1759,19.853004
1760,58.178856
1761,62.783943
1762,65.94836
1763,50.656322
1764,53.03352
1765,27.27545
1766,14.448701
1767,91.051544
1768,311.00125
1769,441.3943
1770,673.9307
1771,772.43494
1772,770.3724
1773,707.7651
1774,478.2518
1775,425.6232
1776,305.79803
1777,115.67978
1778,62.907913
1779,46.732063
1780,51.501232
1781,56.08337
1782,35.601273
1783,17.847809
1784,65.80071
1785,134.50829
1786,159.6002
1787,138.12201
1788,132.20703
1789,63.969547
1790,100.96728
1791,417.51144
1792,457.08197
1793,528.1406
1794,621.22723
1795,735.303
1796,696.8248
1797,732.0725
1798,466.44443
1799,363.9777
1800,242.68211
1801,52.680157
1802,23.029995
1803,18.462902
1804,3.526668
1805,-16.055906
1806,11.070927
1807,-7.265172
1808,0.7705656
1809,31.233936
1810,42.557426
1811,28.847467
1812,42.306316
1813,14.690301
1814,1.2917398
1815,78.60202
1816,328.98938
1817,464.3907
1818,637.9781
1819,798.95026
1820,803.6579
1821,769.2908
